iter	RMSE
580	337.7001542
581	337.2028172
582	337.0436586
583	336.3859382
584	335.7738229
585	335.6383659
586	335.2063409
587	334.9554744
588	334.5229083
589	334.2635707
590	333.952269
591	333.5518242
592	333.0299525
593	332.3377163
594	332.0207307
595	331.8022226
596	331.4551543
597	330.9897252
598	330.6759446
599	330.1788912
600	330.0964045
601	329.8490639
602	329.3152499
603	328.9187591
604	328.8252531
605	328.340813
606	328.1126079
607	327.9719822
608	327.5662387
609	327.4317902
610	327.1438589
611	326.9372544
612	326.7160443
613	325.9888002
614	325.7703947
615	325.2061574
616	324.9801182
617	324.5336865
618	324.192906
619	323.8971056
620	323.5614992
621	323.3678493
622	323.1460309
623	322.7915606
624	322.3848989
625	322.1324769
626	321.821859
627	321.5603823
628	321.1255777
629	320.6788183
630	320.3481112
631	319.8225148
632	319.6318087
633	319.084499
634	319.0393978
635	318.8176668
636	318.623274
637	318.3183156
638	317.7419351
639	317.3719595
640	317.1774703
641	316.69909
642	316.3516647
643	315.9513415
644	315.3006706
645	314.8585632
646	314.5748519
647	314.2560086
648	313.9673414
649	313.4565999
650	313.1097479
651	312.6757694
652	312.3116578
653	311.892371
654	311.5156658
655	311.2486112
656	310.9838478
657	310.5587525
658	310.1946187
659	309.9906124
660	309.5436698
661	308.8851755
662	308.6546464
663	308.3816748
664	308.0006488
665	307.5721653
666	307.1705325
667	306.7236296
668	306.5387678
669	306.369592
670	305.9006651
671	305.6403949
672	305.3875026
673	304.8461822
674	304.6576358
675	304.3526973
676	304.1201158
677	303.869388
678	303.5894985
679	303.1434496
680	302.7215982
681	302.5186341
682	302.228113
683	301.923501
684	301.6572932
685	301.4255066
686	300.7159102
687	300.327335
688	300.0012578
689	299.7363726
690	299.594451
691	299.2815932
692	299.122582
693	298.8917992
694	298.6022991
695	298.3732645
696	298.0883714
697	297.8740812
698	297.7680651
699	297.317677
700	296.9503837
701	296.6815316
702	296.4255736
703	296.2989573
704	295.8232823
705	295.8071566
706	295.3762585
707	294.8954604
708	294.5597592
709	294.2046557
710	293.8174046
711	293.5878442
712	293.2557814
713	293.1780743
714	292.979855
715	292.7525304
716	292.4368959
717	292.34856
718	292.0699169
719	292.0041479
720	291.6838342
721	291.6616175
722	291.5580236
723	291.1840357
724	290.8960031
725	290.44466
726	290.2926876
727	290.0730842
728	289.9746265
729	289.8969091
730	289.555921
731	289.1485261
732	288.9629169
733	288.6808435
734	288.4958893
735	288.1609644
736	288.0741919
737	287.7633662
738	287.3977886
739	287.1651006
740	286.7639399
741	286.3207327
742	286.0656465
743	285.8074428
744	285.4743127
745	284.9819703
746	284.748072
747	284.6371503
748	284.4325229
749	284.0241365
750	283.7086574
751	283.3721918
752	282.9343479
753	282.7454556
754	282.501271
755	282.1765021
756	281.9536541
757	281.609459
758	281.374074
759	281.2013135
760	281.0726794
761	280.7734793
762	280.6970022
763	280.5915623
764	280.2560251
765	280.0718191
766	279.7864922
767	279.418885
768	279.2073654
769	278.8590965
770	278.5939362
771	278.3988327
772	278.0578406
773	277.8600546
774	277.6031551
775	277.3917394
776	277.2045898
777	276.758683
778	276.6337582
779	276.5631394
780	276.4236934
781	276.262693
782	275.9691945
783	275.6427725
784	275.3435159
785	275.0986085
786	274.702274
787	274.4513076
788	274.258066
789	274.0597543
790	273.933969
791	273.6529772
792	273.49492
793	273.2476375
794	272.9301271
795	272.5134084
796	272.3223082
797	272.077218
798	271.9556816
799	271.639363
800	271.3649844
801	271.0636718
802	270.8897479
803	270.7204649
804	270.5542579
805	270.0247036
806	269.5278489
807	269.3672549
808	268.9953518
809	268.9167037
810	268.467113
811	268.1400627
812	268.0226648
813	267.7812244
814	267.4749173
815	267.3751041
816	267.1336746
817	266.8674569
818	266.6843459
819	266.2300278
820	266.0803308
821	265.7999163
822	265.5577533
823	265.230397
824	264.9993973
825	264.9329779
826	264.6801121
827	264.4144105
828	264.1327869
829	263.8537548
830	263.5935785
831	263.4392254
832	263.2685185
833	263.1613204
834	262.980441
835	262.8884553
836	262.6269621
837	262.4477222
838	262.1464071
839	261.6262607
840	261.3336236
841	261.0463514
842	260.7422845
843	260.4140939
844	260.1790402
845	259.9686944
846	259.7020251
847	259.4100189
848	259.2011471
849	259.0762743
850	258.720117
851	258.4775951
852	258.1071509
853	258.0551076
854	257.7593055
855	257.527134
856	257.1802155
857	256.8467554
858	256.5830506
859	256.3962446
860	256.2125925
861	256.040383
862	255.7681076
863	255.5722848
864	255.4849526
865	255.1310596
866	254.8821942
867	254.6707688
868	254.4277567
869	254.3210966
870	254.1580353
871	254.0795946
872	253.9090453
873	253.7614441
874	253.6583856
875	253.3033802
876	253.0256243
877	252.8615808
878	252.6273854
879	252.3468213
880	252.0888088
881	251.9362102
882	251.8975864
883	251.8607749
884	251.7287845
885	251.5800019
886	251.4410032
887	251.3228532
888	251.1212575
889	251.0778227
890	250.8429435
891	250.7128224
892	250.4079407
893	250.3547191
894	250.1721285
895	250.0486902
896	250.0095961
897	249.7575776
898	249.5142756
899	249.1253227
900	248.9448743
901	248.8513046
902	248.5972889
903	248.4771932
904	248.3127413
905	248.0726838
906	247.9055254
907	247.6999999
908	247.6590693
909	247.4211412
910	247.3825356
911	247.1911984
912	247.0963161
913	247.0018523
914	246.8772714
915	246.7006411
916	246.5677516
917	246.4771347
918	246.3395547
919	246.124795
920	245.9263799
921	245.7985164
922	245.6072846
923	245.1941912
924	244.8877881
925	244.7037566
926	244.5225804
927	244.4148446
928	244.266396
929	244.1259637
930	244.0097315
931	244.00308
932	243.8427514
933	243.6301715
934	243.3732087
935	243.2140757
936	243.1016458
937	242.8161623
938	242.5202867
939	242.4236675
940	242.1920483
941	242.0116403
942	241.8813813
943	241.4925176
944	241.3478901
945	241.1045731
946	240.8658519
947	240.7095191
948	240.5227703
949	240.4463231
950	240.2226806
951	240.0529337
952	240.0418324
953	239.9743852
954	239.734286
955	239.6312161
956	239.4844353
957	239.4731158
958	239.4622122
959	239.3700575
960	239.2306913
961	239.0881034
962	239.0269378
963	238.8355347
964	238.6674276
965	238.4777323
966	238.3793584
967	238.1241034
968	237.8127897
969	237.7563716
970	237.6353819
971	237.6074571
972	237.4288483
973	237.1730607
974	236.9739297
975	236.7738988
976	236.6366935
977	236.4226666
978	236.299978
979	236.0704177
980	235.9431358
981	235.889418
982	235.8028165
983	235.6607783
984	235.5664582
985	235.3702376
986	235.2555227
987	235.2076917
988	235.0902264
989	234.9225931
990	234.787534
991	234.6704406
992	234.5364647
993	234.4166653
994	234.1642186
995	234.0148959
996	233.8488167
997	233.6009551
998	233.392507
999	233.0673959
